,hash,block_number,from_address,to_address,OFAC sanctioned address interacted,sanctioned_type,merge,delay,included_in_block_num
62,0xfb6b67ba37202829937b286e683da227d3b70cf1af598b3b3f4b61cc52bb253a,15471748,0x5c5bd5fef09313a897b8caf4398a2faa66df2c45,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,10.06727,15471748.0
63,0xf4406c008769f50632867d861edbdbb7027c3ff890612459290d2e9e9927efef,15471791,0x0fb12bd95bfbf09a6ad2a86169a272ccccd9ad4d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,10.078627,15471791.0
64,0xc13f31e74d994ded38ae1419bfea349f79470344baa6347cb4aba3f53e8d72bb,15471802,0x0fb12bd95bfbf09a6ad2a86169a272ccccd9ad4d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,10.736315,15471802.0
65,0x5f1e536bc16138d08e58892b9bf5caf4d84f8f8ee7016476a592671c39dc767f,15471796,0x0fb12bd95bfbf09a6ad2a86169a272ccccd9ad4d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,4.30125,15471796.0
66,0xbaa38b028216cd91ce6c04a0a96dc832f8d4e9fcd2d1c4d4721031c34f26eed7,15471810,0x0fb12bd95bfbf09a6ad2a86169a272ccccd9ad4d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,71.477123,15471810.0
67,0x0d6afe96ea0beda80624c2b06936f6736b05b95f228ae0c6503a11ace50248a3,15471810,0x1d9d4d0e0d43dd8f007f2459173c0df7073a7b02,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,40.53043,15471810.0
68,0xfef1d48da088e7e9b73f500af4c04433c75ea0b83dfc781fc12c377d95eef784,15471816,0x0fb12bd95bfbf09a6ad2a86169a272ccccd9ad4d,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,18.294473,15471816.0
69,0x034bfdaa047ef462864c06a0f5b159e6a01d90b6192149687926d800798aa9d0,15471818,0x5c47185e0c026151c978ff1e36c1309bd71da9c3,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,5.891271,15471818.0
70,0x822690dd72ec7860b480894f55e105f21d5b21a6207d0a439c58c7052e020ef4,15471968,0x42e2b43be755d7d2acb8f38136908823608b0481,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,2.89017,15471968.0
71,0x692c351ca9364d457e5c9690376471f7049310d56eddffee532db12b5d0af28f,15471964,0x42e2b43be755d7d2acb8f38136908823608b0481,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,21.236932,15471964.0
